date,code,volume,open,high,low,adj_close,moving_average_2,moving_average_3,moving_average_5,moving_average_10,moving_average_20,pre_profit,profit
2010.9.14,15760,1338287,30000,30200,29850,30200,30075,30083.33333,29660,29340,29942.5,0.008347245,-0.004983389
2010.9.15,15760,1142311,30250,30300,29900,30150,30175,30100,29870,29465,29902.5,-0.001655629,0.008347245
2010.9.16,15760,1085659,30000,30100,29850,29900,30025,30083.33333,30060,29555,29832.5,-0.008291874,-0.001655629
2010.9.17,15760,1718833,30050,30250,29900,29950,29925,30000,30030,29630,29780,0.001672241,-0.008291874
2010.9.20,15760,1051495,30000,30050,29550,29800,29875,29883.33333,30000,29690,29725,-0.005008347,0.001672241
2010.9.24,15760,1209389,30200,30200,29750,30000,29900,29916.66667,29960,29810,29700,0.006711409,-0.005008347
2010.9.27,15760,1429057,30150,30150,29800,29850,29925,29883.33333,29900,29885,29647.5,-0.005,0.006711409
2010.9.28,15760,1383433,29800,29850,29500,29850,29850,29900,29890,29975,29607.5,0,-0.005
2010.9.29,15760,1309484,30000,30100,29750,29750,29800,29816.66667,29850,29940,29600,-0.003350084,0
2010.9.30,15760,2322663,29750,29850,29100,29400,29575,29666.66667,29770,29885,29560,-0.011764706,-0.003350084
2010.10.1,15760,3062596,29400,30300,29400,30150,29775,29766.66667,29800,29880,29610,0.025510204,-0.011764706
2010.10.4,15760,6413510,30400,31700,30150,31700,30925,30416.66667,30170,30035,29750,0.051409619,0.025510204
2010.10.5,15760,6671198,31850,32900,31850,32700,32200,31516.66667,30740,30315,29935,0.031545741,0.051409619
2010.10.6,15760,2673149,32850,32850,32200,32650,32675,32350,31320,30585,30107.5,-0.001529052,0.031545741
2010.10.7,15760,2725963,32400,32500,31700,32300,32475,32550,31900,30835,30262.5,-0.010719755,-0.001529052
2010.10.8,15760,2137042,32000,32200,31400,31550,31925,32166.66667,32180,30990,30400,-0.023219814,-0.010719755
2010.10.11,15760,2000333,31800,32200,31700,31750,31650,31866.66667,32190,31180,30532.5,0.006339144,-0.023219814
2010.10.12,15760,2229454,31750,31800,30850,31000,31375,31433.33333,31850,31295,30635,-0.023622047,0.006339144
2010.10.13,15760,1602081,31400,31400,30900,31100,31050,31283.33333,31540,31430,30685,0.003225806,-0.023622047
2010.10.14,15760,2431571,31150,31250,30650,30900,31000,31000,31260,31580,30732.5,-0.006430868,0.003225806
2010.10.15,15760,1287336,31000,31550,30950,31100,31000,31033.33333,31170,31675,30777.5,0.006472492,-0.006430868
2010.10.18,15760,2101233,31050,31100,30300,30450,30775,30816.66667,30910,31550,30792.5,-0.020900322,0.006472492
2010.10.19,15760,1330918,30550,30650,30150,30450,30450,30666.66667,30800,31325,30820,0,-0.020900322
2010.10.20,15760,1732966,30350,30400,30100,30100,30275,30333.33333,30600,31070,30827.5,-0.011494253,0
2010.10.21,15760,1982652,30350,30350,29950,30050,30075,30200,30430,30845,30840,-0.00166113,-0.011494253
2010.10.22,15760,1511815,30150,30350,29850,30100,30075,30083.33333,30230,30700,30845,0.001663894,-0.00166113
2010.10.25,15760,2268288,30100,30600,29950,30300,30200,30150,30200,30555,30867.5,0.006644518,0.001663894
2010.10.26,15760,1232618,30350,30350,30050,30300,30300,30233.33333,30170,30485,30890,0,0.006644518
2010.10.27,15760,1203209,30300,30350,30100,30250,30275,30283.33333,30200,30400,30915,-0.001650165,0
2010.10.28,15760,1577373,30250,30350,29850,29900,30075,30150,30170,30300,30940,-0.011570248,-0.001650165
2010.10.29,15760,1512147,30000,30050,29500,29600,29750,29916.66667,30070,30150,30912.5,-0.010033445,-0.011570248
2010.11.1,15760,1201796,29650,30000,29550,29650,29625,29716.66667,29940,30070,30810,0.001689189,-0.010033445
2010.11.2,15760,1431819,29650,29900,29150,29300,29475,29516.66667,29740,29955,30640,-0.011804384,0.001689189
2010.11.3,15760,1096080,29200,29650,29200,29350,29325,29433.33333,29560,29880,30475,0.001706485,-0.011804384
2010.11.4,15760,1121918,29550,29850,29200,29250,29300,29300,29430,29800,30322.5,-0.003407155,0.001706485
2010.11.5,15760,1679765,29500,29900,29400,29500,29375,29366.66667,29410,29740,30220,0.008547009,-0.003407155
2010.11.8,15760,1009232,29800,29850,29550,29700,29600,29483.33333,29420,29680,30117.5,0.006779661,0.008547009
2010.11.9,15760,1191848,29750,29800,29500,29550,29625,29583.33333,29470,29605,30045,-0.005050505,0.006779661
2010.11.10,15760,1603001,29700,30100,29550,29650,29600,29633.33333,29530,29545,29972.5,0.003384095,-0.005050505
2010.11.11,15760,2524488,29800,29850,28850,28850,29250,29350,29450,29440,29870,-0.02698145,0.003384095
2010.11.12,15760,2060579,29300,29550,29100,29550,29200,29350,29460,29435,29792.5,0.024263432,-0.02698145
2010.11.15,15760,902373,29450,29650,29250,29350,29450,29250,29390,29405,29737.5,-0.00676819,0.024263432
2010.11.16,15760,1331632,29200,29250,28900,29050,29200,29316.66667,29290,29380,29667.5,-0.010221465,-0.00676819
2010.11.17,15760,739736,28850,29150,28800,29050,29050,29150,29170,29350,29615,0,-0.010221465
2010.11.18,15760,1123849,29050,29150,28800,28950,29000,29016.66667,29190,29320,29560,-0.003442341,0
2010.11.19,15760,1022181,29050,29100,28850,28950,28950,28983.33333,29070,29265,29502.5,0,-0.003442341
2010.11.22,15760,1137338,29100,29250,28900,28950,28950,28950,28990,29190,29435,0,0
2010.11.23,15760,1705576,28900,28950,28600,28850,28900,28916.66667,28950,29120,29362.5,-0.003454231,0
2010.11.24,15760,2852810,28250,29050,28250,28800,28825,28866.66667,28900,29035,29290,-0.001733102,-0.003454231
2010.11.25,15760,1417610,28950,28950,28500,28550,28675,28733.33333,28820,29005,29222.5,-0.008680556,-0.001733102
2010.11.26,15760,1797986,28550,28700,28100,28300,28425,28550,28690,28880,29157.5,-0.008756567,-0.008680556
2010.11.29,15760,2015956,28200,28300,27600,27900,28100,28250,28480,28735,29070,-0.014134276,-0.008756567
2010.11.30,15760,1958571,27800,28150,27700,27700,27800,27966.66667,28250,28600,28990,-0.007168459,-0.014134276
2010.12.1,15760,2435332,28000,28700,27950,28350,28025,27983.33333,28160,28530,28940,0.023465704,-0.007168459
2010.12.2,15760,1717627,28450,28650,28100,28250,28300,28100,28100,28460,28890,-0.003527337,0.023465704
2010.12.3,15760,1079087,28450,28450,28050,28200,28225,28266.66667,28080,28385,28825,-0.001769912,-0.003527337
2010.12.6,15760,1428335,28350,28550,28150,28250,28225,28233.33333,28150,28315,28752.5,0.00177305,-0.001769912
2010.12.7,15760,1655942,28300,28800,28250,28700,28475,28383.33333,28350,28300,28710,0.015929204,0.00177305
2010.12.8,15760,1214190,28750,29100,28700,28750,28725,28566.66667,28430,28295,28665,0.00174216,0.015929204
2010.12.9,15760,1923998,29000,29000,28450,28800,28775,28750,28540,28320,28662.5,0.00173913,0.00174216
2010.12.10,15760,1337627,28750,28800,28300,28400,28600,28650,28580,28330,28605,-0.013888889,0.00173913
2010.12.13,15760,2729647,28550,29300,28450,29300,28850,28833.33333,28790,28470,28602.5,0.031690141,-0.013888889
2010.12.14,15760,3068313,29650,30100,29400,29450,29375,29050,28940,28645,28622.5,0.005119454,0.031690141
2010.12.15,15760,1514758,29650,30000,29500,29550,29500,29433.33333,29100,28765,28647.5,0.003395586,0.005119454
2010.12.16,15760,1000351,29700,29900,29500,29550,29550,29516.66667,29250,28895,28677.5,0,0.003395586
2010.12.17,15760,1242384,29600,29900,29600,29600,29575,29566.66667,29490,29035,28710,0.001692047,0
2010.12.20,15760,1619893,29500,29550,29100,29450,29525,29533.33333,29520,29155,28735,-0.005067568,0.001692047
2010.12.21,15760,2622703,29700,30500,29550,30200,29825,29750,29670,29305,28802.5,0.025466893,-0.005067568
2010.12.22,15760,3011141,30200,30950,30200,30750,30475,30133.33333,29910,29505,28900,0.018211921,0.025466893
2010.12.23,15760,2246838,30900,31300,30500,30900,30825,30616.66667,30180,29715,29017.5,0.004878049,0.018211921
2010.12.24,15760,937768,30700,31000,30350,30650,30775,30766.66667,30390,29940,29135,-0.008090615,0.004878049
2010.12.27,15760,1299472,30500,30500,30050,30400,30525,30650,30580,30050,29260,-0.008156607,-0.008090615
2010.12.28,15760,1226929,30300,30600,30100,30250,30325,30433.33333,30590,30130,29387.5,-0.004934211,-0.008156607
2010.12.29,15760,1466620,30100,30150,29750,30000,30125,30216.66667,30440,30175,29470,-0.008264463,-0.004934211
2010.12.30,15760,1398401,30150,30250,29800,30200,30100,30150,30300,30240,29567.5,0.006666667,-0.008264463
2011.1.3,15760,1261721,30400,30450,29800,30050,30125,30083.33333,30180,30285,29660,-0.004966887,0.006666667
2011.1.4,15760,1718372,30050,30050,29700,29900,29975,30050,30080,30330,29742.5,-0.004991681,-0.004966887
2011.1.5,15760,2324148,29800,29850,29200,29250,29575,29733.33333,29880,30235,29770,-0.02173913,-0.004991681
2011.1.6,15760,1930250,29350,29650,29050,29050,29150,29400,29690,30065,29785,-0.006837607,-0.02173913
2011.1.7,15760,2077771,29000,29050,28650,28950,29000,29083.33333,29440,29870,29792.5,-0.003442341,-0.006837607
2011.1.10,15760,1224379,28800,29200,28800,29100,29025,29033.33333,29250,29715,29827.5,0.005181347,-0.003442341
2011.1.11,15760,1171476,29250,29250,28800,29000,29050,29016.66667,29070,29575,29812.5,-0.003436426,0.005181347
2011.1.12,15760,1682136,28900,29000,28600,28750,28875,28950,28970,29425,29777.5,-0.00862069,-0.003436426
2011.1.13,15760,2314621,28700,28750,28250,28300,28525,28683.33333,28820,29255,29715,-0.015652174,-0.00862069
2011.1.14,15760,3279142,28150,28200,27750,28000,28150,28350,28630,29035,29637.5,-0.010600707,-0.015652174
2011.1.17,15760,1503861,28000,28300,27950,28000,28000,28100,28410,28830,29557.5,0,-0.010600707
