company,year,PROFIT,INTEREST,GAS,ROE,EPS,BPS,PER,PBR,PSR,DR,ASSET,SALES,OPERATION_PROFIT,CASH_FLOW
호텔신라,2011,0.615503468227095,3.4,-19.66,9.58,1402.96,15141.16,27.44198,2.54274,0.85633,130.33,1385303348.72,1798370572.11,97523145.0,92300487.4
OCI,2011,-0.4222185729077367,3.4,-19.66,28.79,32621.08,139821.24,6.72878,1.56986,1.20868,93.68,7205013146.0,4275871267.0,1117915949.0,1224182780.0
한화,2011,-0.2733251689572277,3.4,-19.66,1.84,1783.28,62387.52,18.58934,0.53136,0.20522,197.1,15029730755.0,12185910706.0,306523105.0,259327150.0
메리츠종금증권,2011,0.08055235903337166,3.4,-19.66,8.14,171.85,2191.96,4.0966,0.32117,0.11507,988.24,7371397942.89,253983300.0,70026686.51,71440638.77
동서,2011,-0.10481025729283189,3.4,-19.66,12.34,3265.21,27807.45,9.49403,1.11481,2.08458,13.15,951454800.29,443158568.66,49423330.59,105268999.0
GS리테일,2011,0.13774805867126827,3.4,-19.66,6.65,1215.03,18573.73,19.05303,1.24638,0.4477,108.7,2994028838.22,3981607805.1,93889582.61,214235296.12
대림산업,2011,-0.10442119660647287,3.4,-19.66,8.56,9473.43,114426.98,9.47914,0.78478,0.43393,132.13,10764643409.59,7988145801.2,437456650.65,420630384.5
현대산업,2011,-0.1797752808988764,3.4,-19.66,9.36,2941.5,33069.62,5.71137,0.50802,0.3083,171.32,6736281104.03,4107921252.06,400798265.08,259015652.85
오뚜기,2011,0.3645613049200691,3.4,-19.66,12.55,20342.99,172496.7,7.61933,0.89857,0.33297,66.74,989034006.65,1601340974.51,84295291.53,93211592.57
메리츠화재,2011,0.11377624909485884,3.4,-19.66,20.22,1732.48,9292.69,6.81105,1.26982,0.22502,861.83,8663623339.93,4236646825.12,209937283.32,186209826.03
녹십자,2011,-0.065714247989754,3.4,-19.66,9.77,5547.57,61070.69,26.31783,2.39067,1.89754,36.5,860353832.43,767911771.0,85385142.0,68402168.0
신세계,2011,-0.26151325866900565,3.4,-19.66,73.29,182728.72,199903.31,1.34079,1.22559,2.14819,90.15,4144705507.04,2185477972.94,254423904.37,3629931379.97
유한양행,2011,0.02340310209900287,3.4,-19.66,8.51,8272.87,107886.82,15.41182,1.18179,2.13781,17.67,1314066150.72,679230981.63,52731141.67,111994551.11
삼성엔지니어링,2011,-0.13180195255523441,3.4,-19.66,45.33,12831.58,40886.65,15.70344,4.92826,0.86684,295.07,5188614817.77,9298184259.87,626369213.27,551691055.61
대우건설,2011,-0.10799707869271502,3.4,-19.66,5.13,426.05,8290.79,24.64499,1.26647,0.62169,177.49,9468578920.86,7019591543.92,297554445.15,236477251.0
두산,2011,-0.002769542266252034,3.4,-19.66,10.19,9892.75,114377.91,14.45503,1.25024,1.13571,80.46,6296220754.29,3884412616.54,399910388.1,392654267.39
메리츠금융지주,2011,0.17712031558185415,3.4,-19.66,32.18,3173.11,7662.85,0.84145,0.34843,0.09139,521.95,9747881558.93,121827685.62,135660591.48,435958398.4
제일기획,2011,0.22529051605647887,3.4,-19.66,13.8,811.13,6373.71,23.36247,2.97315,1.23994,152.24,1810592894.05,1758178413.15,106514611.85,105619788.56
금호석유,2011,-0.2916728416407318,3.4,-19.66,44.39,15097.39,44422.63,11.09463,3.7706,0.86874,202.76,4714232584.34,6457354166.24,839049442.68,660175421.05
LS,2011,-0.11613656857119437,3.4,-19.66,4.4,3653.26,69755.5,20.80334,1.08952,0.19612,257.42,9957828000.0,12477946000.0,384327000.0,400369000.0
포스코대우,2011,0.0019658119658119144,3.4,-19.66,12.24,2063.79,18485.32,14.02759,1.56611,0.15352,366.1,8904231783.0,19457178592.0,165448778.0,238590505.0
농심,2011,0.018729031069367297,3.4,-19.66,5.64,13938.44,259429.73,16.68049,0.8962,0.65145,49.44,2270287656.42,2170883422.97,101554618.38,159527289.54
현대백화점,2011,-0.04623896306158082,3.4,-19.66,14.78,15027.29,106701.94,10.84693,1.52762,2.61094,63.19,4720062645.0,1439148214.0,436616875.0,424022977.0
영풍,2011,0.053907191714509084,3.4,-19.66,12.78,125931.3,1050739.93,8.82227,1.05735,1.46481,36.72,2622323750.01,1397118394.27,77716877.8,296062159.15
코오롱인더,2011,-0.21619645724969438,3.4,-19.66,20.66,11968.18,66952.35,5.28902,0.94545,0.31533,167.75,4797614385.11,5420116151.54,402180719.92,472999008.22
GKL,2011,0.26846818864212874,3.4,-19.66,30.66,1023.41,3577.99,17.78368,5.08665,2.18715,70.05,376356788.17,514720870.03,137455693.29,82833220.06
키움증권,2011,0.09862787759685565,3.4,-19.66,16.72,5745.35,36406.82,9.52074,1.50247,2.12801,362.49,3801914639.43,335991983.18,168032937.11,141742914.33
대우조선해양,2011,-0.2022550885927662,3.4,-19.66,13.74,3121.78,22874.92,7.78402,1.0623,0.33547,287.28,16530738031.91,13863375850.54,967198405.62,597479661.78
현대미포조선,2011,-0.2010416931971576,3.4,-19.66,5.23,9991.93,163131.76,11.20905,0.68656,0.48444,129.55,7824563656.72,4623857520.48,383798694.92,263065333.25
한화테크윈,2011,-0.10033915921336944,3.4,-19.66,16.16,4345.72,29928.65,12.24193,1.77756,0.95894,101.01,3203519628.3,2947529052.68,89359469.39,330835938.52
GS건설,2011,-0.2678872092808111,3.4,-19.66,11.06,8307.39,74845.66,11.08651,1.23053,0.51889,184.57,11263576376.43,9052234347.54,431004711.11,486111712.85
일진머티리얼즈,2011,-0.4154593931385966,3.4,-19.66,5.81,363.03,8342.46,46.82809,2.03777,1.92394,35.21,442163373.54,329574564.41,10556736.29,29475886.19
녹십자홀딩스,2011,-0.7248252752513165,3.4,-19.66,6.57,558.75,11670.26,26.4877,1.26818,0.8962,413.89,4603216703.8,817952804.35,105781013.0,47810145.61
두산인프라코어,2011,-0.2110800317288022,3.4,-19.66,15.38,1769.53,10946.32,10.08742,1.63069,0.35546,412.15,11703674631.46,8463085724.02,679614970.0,519962624.01
LS산전,2011,-0.06755131838873141,3.4,-19.66,9.21,2345.98,26569.8,28.34636,2.50284,0.96334,127.86,1769390132.83,2070928963.19,131519868.62,141827380.3
SK케미칼,2011,-0.0816090419614649,3.4,-19.66,12.45,6496.59,56123.99,9.86671,1.14211,0.17108,148.98,4034521357.44,8864966852.45,230872352.15,216264039.07
현대위아,2011,0.1917480048654583,3.4,-19.66,19.38,9420.92,56421.05,15.12591,2.52565,0.56256,184.39,4252849004.63,6392708438.85,317901717.84,336269471.79
영진약품,2011,0.8706624605678233,3.4,-19.66,2.88,14.53,506.02,134.89332,3.87336,3.10544,75.55,157786910.07,112105475.32,3478720.19,6551924.55
